category_code,category_type,category_name
6000,parent,DICE & DICE ACCESSORIES
6010,child,CHESSEX
6001,child,DIE HARD DICE
6005,child,KOPLOW
6006,child,LITTLE DRAGON
6008,child,OAKIE DOAKIE DICE
6018,child,Q-WORKSHOP
6019,child,SIRIUS DICE
6011,child,TASTY MINSTREL DICE
6012,child,ULTRA PRO DICE
6015,child,CRYSTAL CASTE
6020,child,MISC. DICE & ACCESSORIES
6300,parent,PAINT & PAINT ACCESSORIES
6308,child,THE ARMY PAINTER
6304,child,ACRYLICOS VALLEJO
6310,child,BADGER
6320,child,FLOQUIL
6315,child,REAPER PAINTS
6305,child,TESTOR
6500,parent,HOBBY/MODEL/CRAFT
6505,child,TAMIYA
6540,child,MISC. CRAFT
6545,child,MISC. HOBBY/MODEL
6800,parent,MAGAZINES
6805,child,BECKETT MAGAZINES
6810,child,CANADIAN SPORTS COLLECTOR
6815,child,GAMING MAGAZINES
7500,parent,TOYS/PLUSH/DIE CAST
7501,child,FUNKO
7503,child,PREMIUM SPORTS ARTIFACTS
7504,child,SHOPKINS
7505,child,MCFARLANE TOYS
7515,child,DIE CAST
7530,child,PLUSH TOYS
7545,child,MISC. TOYS
8500,parent,LICENSED GOODS & MEMORABILIA
8505,child,UPPER DECK AUTHENTICATED
8510,child,MISC. LICENSED GOODS & MEMORAB
9000,parent,SUPPLIES
9005,child,ALBUMS & PORTFOLIOS
9070,child,ARCANE TINMEN
9080,child,BCW SUPPLIES
9010,child,CARD SLEEVES
9090,child,CARDBOARD STORAGE BOXES
9050,child,CARRYING CASES
9045,child,COMIC & MAGAZINE STORAGE
9040,child,DECK BOXES & DECK VAULTS
9035,child,DECK PROTECTORS - REG SIZE
9038,child,DECK PROTECTORS - SMALL SIZE
9079,child,DEX PROTECTION
9077,child,HCD SUPPLIES
9076,child,KMC SLEEVES
9078,child,LEGION SUPPLIES
9075,child,MAX PROTECTION
9074,child,MAYDAY SLEEVES
9015,child,PLASTIC STORAGE CASES
9043,child,PLAYMATS
9056,child,RACKS & DISPLAYS
9025,child,SCREWDOWNS & MAGNETIC HOLDERS
9073,child,SLEEVE KINGS
9030,child,SPECIALTY HOLDERS
9020,child,TOP LOADERS & SEMI-RIGIDS
9086,child,ULTIMATE GUARD
9002,child,ULTRA PRO PAGES
9085,child,CUT ON DEMAND
